chw_id,parent_id,with_errors,total_assessments,percent_without_errors
d775ec77-dd30-4603-909c-e9819fe1998a,e5815426-fe5f-4295-aac9-8d8e362e2219,200,326,38.65
fda753c1c37ef32fba0138a4c7c1f5d8,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,21,38,44.74
5ba0b402-23c3-405b-90d1-bc776c212e54,02ab35ec-cf9b-464e-8805-f2265a2f4a1a,117,197,40.61
6d7ab543-72ba-4814-8904-1fdcd215d119,74a7f78eef4f8baa9de4e11cd2a4c032,199,365,45.48
ab28ea46-7853-4f3e-9ab7-cc74ebfe7008,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,28,43,34.88
ff2d6e94-44e3-43ff-83d6-ecc561966cb0,ce8be1b7-dabf-484a-9535-3e7bed4907d0,157,194,19.07
fda753c1c37ef32fba0138a4c7c1edf9,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,29,53,45.28
fda753c1c37ef32fba0138a4c7858963,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,26,33,21.21
d1611082-dd43-49ae-946a-cce99b07f546,9f3d2219-0b23-4792-9272-4be933c3f836,230,321,28.35
3f0fce86e571a1275c338749fb1bc506,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,11,31,64.52
cc278bb4-2fc5-42c8-ba4e-bcc338275d73,014b4b90-5b36-4b76-adb5-98ac2f443e1b,174,244,28.69
fda753c1c37ef32fba0138a4c7c4aabb,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,5,29,82.76
db91e797f2ce030419456e90ab7b87c6,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,27,29,6.90
456fa1d9-ac52-4547-b55c-ee836bc30a93,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,2,2,0.00
6dfa794a-542f-4162-b052-81264db24837,90896fc1-a2a8-4769-a157-484fef58bb55,90,105,14.29
db91e797f2ce030419456e90ab78fc51,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,24,80,70.00
5732fcf3-967c-472b-b928-1dce2b9ff7cf,48c62f63-2534-48f6-b46c-8fadab6bc31d,66,81,18.52
57ecf7ed-342c-4f16-8c67-cab063be9f6a,79786482-57c5-4ba1-af66-79a1c1886be4,221,272,18.75
1d5277b5-fecd-457c-87a2-2dfbc9997d76,74a7f78eef4f8baa9de4e11cd238287e,173,261,33.72
db91e797f2ce030419456e90ab7b9ca5,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,20,47,57.45
bc61c3e0-4c54-4bea-bcda-49bff4e53334,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,6,12,50.00
2740a1fc-444d-4483-82c1-1de690daa6e8,74a7f78eef4f8baa9de4e11cd2a4c032,128,141,9.22
9461a54e-e4a5-420e-8009-f3d5bc35618a,b4a8316e-2026-48bf-b796-b23c3b6d1fbb,191,321,40.50
d392db7c-5640-43af-9547-9b8f38f4f550,67912460-c806-4fa4-a933-d1930238ce05,154,232,33.62
fda753c1c37ef32fba0138a4c7c4f4c0,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,8,10,20.00
d8e99817-533f-426e-9ad4-db620d53ca55,1e59bc0a-4190-4486-969b-e59ef4886c17,125,168,25.60
db91e797f2ce030419456e90ab783f2c,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,32,45,28.89
3306f892-b9ed-4393-81d0-e1a600d10f5c,dc7b9b3c-9b7e-4023-976c-207a6ee788b2,49,66,25.76
3d58a5ab-c8e7-4e0a-a8c5-d5e6414f8b01,4bb68e31-9d1b-445a-a920-745732946d2f,50,75,33.33
